,Country,Math-ESCS Correlation,Reading-ESCS Correlation,Science-ESCS Correlation,Average Correlation
61,ROU,0.49374650384745755,0.45800619360996514,0.48735029472518143,0.4797009973942014
22,FRA,0.4970721628501763,0.4551136674830722,0.4823705190319485,0.478185449788399
16,CZE,0.4923649466214561,0.46085706621888434,0.47983120656213935,0.4776844064674932
65,SVK,0.499594901900909,0.421632693242923,0.5032487368558389,0.4748254439998903
29,HUN,0.4770599869356804,0.46147049133047063,0.4834876124526097,0.47400603023958693
71,THA,0.48072078319468553,0.45899011218224217,0.4590843132318191,0.46626506953624897
5,BEL,0.4563688106050125,0.4104277822464596,0.446709551848462,0.4378353815666447
70,CHE,0.44127139885862116,0.4209093991434271,0.42868675560425834,0.4302891845354355
13,COL,0.4426135216878772,0.4269292948961914,0.41977297865238705,0.42977193174548517
33,ISR,0.4535172234670169,0.4063625443857873,0.42634358864775856,0.4287411188335209
4,AUT,0.4184876534766695,0.4094936041895327,0.4527492697546168,0.42691017580693974
8,BGR,0.4178115953460946,0.4148727776457183,0.4355194435751122,0.4227346055223083
64,SGP,0.41930833455004274,0.414627247318891,0.4208020536888555,0.4182458785192631
54,PAN,0.4400246800463323,0.39664337435925595,0.417534932077128,0.4180676621609054
11,CHL,0.44064816674279506,0.39320212478658967,0.4147920872283883,0.41621412625259097
56,PER,0.4235146472335638,0.4156447089365905,0.40029500071423946,0.4131514522947979
47,MNG,0.42561734178556165,0.40441098532506986,0.4080702420627235,0.412699523057785
25,DEU,0.4255774548000439,0.3863947877435405,0.41388391232567834,0.40861871828975427
2,ARG,0.42303032158386167,0.38154865432591095,0.39106059166879914,0.39854652252619055
7,BRN,0.3884666097718143,0.4006234565063687,0.3869657519493309,0.392018606075838
69,SWE,0.3887622521247819,0.3843486396599899,0.3925935055006712,0.38856813242848104
78,URY,0.42616191552776506,0.34984020301512764,0.38697954380108557,0.3876605541146594
48,MDA,0.3878270897893624,0.3929275113729606,0.36936962199791407,0.38337474105341235
44,MYS,0.4238904427105913,0.34748289528551735,0.3767231778277565,0.38269883860795506
17,DNK,0.3813443809318337,0.36171949384643015,0.3898727317279185,0.37764553550206076
74,QUR,0.3851960763457283,0.3758095224373358,0.3701268519414354,0.37704415024149984
51,NLD,0.38496711841005576,0.35167969795958576,0.3751636245319325,0.3706034803005247
12,TAP,0.39294597016535976,0.3376524895503688,0.38088544302303007,0.3704946342462529
59,PRT,0.40407860370211457,0.33769025205773306,0.3641406409320787,0.36863649889730876
42,LTU,0.403057900989615,0.33949716660128537,0.3582494159136346,0.366934827834845
21,FIN,0.38050680539161735,0.34865089372670804,0.367891447352127,0.3656830488234841
52,NZL,0.3955622428392254,0.3295629937400666,0.3714195790229403,0.3655149385340774
19,SLV,0.3746104440555778,0.356032757795138,0.3550162396209624,0.36188648049055944
58,POL,0.3857514724199771,0.3424537339365557,0.3529690503233371,0.36039141889328996
40,KOR,0.3769316975013419,0.3433349210941855,0.3531027379690214,0.35778978552151625
3,AUS,0.3865061463038587,0.32760897284916973,0.3574873192947668,0.3572008128159317
46,MEX,0.33445105827179794,0.36593111241706433,0.3701965976663049,0.35685958945172236
6,BRA,0.3869437262933962,0.32206235943013295,0.35899224857105155,0.35599944476486023
77,USA,0.3804970011197317,0.3270183330266214,0.3604074904130094,0.3559742748531209
75,MKD,0.3658977912221235,0.336182368031303,0.3628609414053716,0.35498036688626605
67,SVN,0.37662220132638513,0.3083824871789282,0.36068049912872874,0.34856172921134737
27,GTM,0.3520015297674708,0.3317471703783723,0.36163871900793815,0.34846247305126044
32,IRL,0.36823475201240785,0.33765000806915074,0.33633433590081696,0.34740636532745856
60,QAT,0.3652341973912551,0.325631209568743,0.33499230195715635,0.3419525696390515
34,ITA,0.3537063410672318,0.3223876104004838,0.34907620391988786,0.34172338512920114
76,GBR,0.3584651612112185,0.3036592278133173,0.3467462128310445,0.3362902006185268
41,LVA,0.3462598272187808,0.33391465770502793,0.3245985254765584,0.3349243368001224
73,TUR,0.35451759935811655,0.32167172688933715,0.32683982211470775,0.3343430494540538
15,HRV,0.36618932881890404,0.3211917351742177,0.3147815446538943,0.3340542028823387
26,GRC,0.33861595004230394,0.32479293568930057,0.3310899665746396,0.33149961743541473
37,JPN,0.3588883631225971,0.3133258088790872,0.31322647648739116,0.32848021616302514
55,PRY,0.343676762764516,0.29981336511529605,0.33432987609237635,0.32594000132406276
20,EST,0.3534170227806489,0.29402050438873273,0.32396245237118676,0.3237999931801894
66,VNM,0.3442301085186799,0.3454611789976613,0.2733052080346399,0.320998831850327
68,ESP,0.35625267325656623,0.2880011366214031,0.3074693328836784,0.3172410475872159
63,SRB,0.3393864082823871,0.29275514146737497,0.31299649559715376,0.3150460151156386
53,NOR,0.3201218128980426,0.3048322849860781,0.31585456659422523,0.31360288815944865
23,GEO,0.29405972040236633,0.31157610444400835,0.33487702364853333,0.313504282831636
30,ISL,0.30812586052770413,0.29269348654286154,0.3308143268893044,0.31054455798662334
45,MLT,0.31016373981257894,0.29197693838832206,0.32729718908903516,0.3098126224299787
18,DOM,0.3186288610889943,0.3046473612278526,0.2985244737977327,0.30726689870485985
49,MNE,0.31519965436849223,0.27199558155854375,0.3209633856087194,0.30271954051191846
31,IDN,0.3113553443073098,0.3116957324460708,0.27744989289196037,0.3001669898817803
10,CAN,0.32095009864785884,0.2689346055085583,0.2910391257726449,0.2936412766430207
38,KAZ,0.3005284301639931,0.28108940054936504,0.28929500156523325,0.29030427742619713
62,SAU,0.27225267266071085,0.24597101874495875,0.2299814215046202,0.24940170430342992
36,JAM,0.2430286558911645,0.24355949497170554,0.23702629918515208,0.24120481668267404
39,JOR,0.23172667753905146,0.250619192237446,0.23642012521185118,0.23958866499611622
72,ARE,0.2558254117105071,0.2167159831128991,0.24237698869298838,0.2383061278387982
35,KSV,0.24268422056490246,0.2217341014693156,0.23965599887166109,0.23469144030195974
50,MAR,0.2743764229116009,0.16446834443723096,0.2333175003476108,0.22405408923214756
57,PHL,0.20126942313667906,0.2170895713637708,0.24801194313112374,0.22212364587719122
1,QAZ,0.22605739202117509,0.20641273534801405,0.23310529797226084,0.22185847511381665
24,PSE,0.24722051522717212,0.1781667678485671,0.22577011421850368,0.21705246576474765
28,HKG,0.23949476339691356,0.17305658568437693,0.197894265228047,0.20348187143644583
0,ALB,0.2074587565882208,0.1836433057315301,0.20283410542687103,0.1979787225822073
43,MAC,0.2227339719833113,0.16425600256149853,0.1313192937335718,0.17276975609279388
79,UZB,0.15437097736658245,0.13678806369845825,0.13187936635042138,0.1410128024718207
14,CRI,0.11112698462726792,0.11701494115945558,0.07995793629204148,0.10269995402625498
9,KHM,0.11982929642617486,0.06291050325266495,0.03778655340520297,0.0735087843613476
