CNT,Math Gap,Reading Gap,Science Gap
ALB,-18.548706,-39.897705,-27.890259
ARE,-5.068054,-44.330322,-17.373169
ARG,10.790558,-13.219788,6.3758545
AUS,10.49292,-22.480438,2.287506
AUT,18.307495,-20.89859,10.804077
BEL,8.415375,-26.091705,0.5877075
BGR,-4.1610413,-30.079712,-15.065918
BRA,8.724121,-19.01181,7.246582
BRN,-11.531738,-32.339478,-9.451996
CAN,9.20517,-26.031158,-3.1898499
CHE,10.200043,-25.41632,-1.2967529
CHL,17.542328,-7.2599487,12.580933
COL,10.83432,-10.424988,7.4134827
CRI,15.746155,-1.4778442,16.949036
CZE,5.4856567,-30.046204,-2.6156006
DEU,13.856476,-17.448517,4.144867
DNK,10.935944,-22.352875,5.999878
DOM,-2.3750916,-31.20697,-12.445892
ESP,11.267792,-26.030945,8.846832
EST,5.222931,-29.24759,-4.012146
FIN,-1.3881226,-39.619263,-16.355896
FRA,8.205078,-18.156555,-2.167633
GBR,13.685425,-18.627167,7.0413513
GEO,-5.3832397,-33.19281,-13.471893
GRC,7.6737976,-25.21524,-10.110291
GTM,10.837799,-11.540558,4.3554993
HKG,9.116333,-21.462463,2.9713135
HRV,7.3811035,-30.212341,-8.694031
HUN,14.753876,-16.673553,2.8782654
IDN,-9.319641,-22.964508,-7.854553
IRL,11.955048,-19.510162,6.7744446
ISL,3.2124329,-37.108307,-15.216522
ISR,10.741699,-26.290436,-1.2102966
ITA,18.422821,-21.793488,5.855591
JAM,-17.743866,-37.108093,-24.986359
JOR,-16.609009,-49.794373,-32.82437
JPN,8.7335205,-15.45929,2.4243164
KAZ,5.049164,-22.320679,-1.7002869
KHM,-4.0786133,-19.868011,-8.29776
KOR,5.78656,-31.162323,-1.8934937
KSV,-1.0158997,-27.179626,-5.014801
LTU,5.5695496,-29.274506,-4.9250183
LVA,10.171539,-27.588837,2.1982727
MAC,16.123718,-14.715729,2.6774292
MAR,-3.2206726,-20.259247,-9.665039
MDA,3.4599304,-28.15744,-6.082947
MEX,10.641937,-8.3046875,12.455902
MKD,-5.0204773,-25.81366,-15.134064
MLT,-0.5706482,-41.04117,-12.031464
MNE,-0.38311768,-33.612915,-8.068207
MNG,-4.7392273,-24.203857,-16.759735
MYS,-12.612946,-33.631287,-12.969452
NLD,12.585175,-23.83725,2.5432434
NOR,-0.08319092,-40.32553,-12.912933
NZL,12.018463,-25.31311,0.9981079
PAN,0.08618164,-22.12503,0.111572266
PER,14.862549,-6.5089417,14.144684
PHL,-13.961304,-33.7164,-11.703125
POL,8.031677,-26.6156,1.44281
PRT,10.05423,-19.590271,-2.4516602
PRY,14.386505,-16.716675,4.7566223
PSE,-17.6026,-52.15454,-30.19513
QAT,-10.796143,-44.64319,-24.85019
QAZ,-7.034851,-35.20694,-11.177368
QUR,7.436432,-25.1969,-6.0572205
ROU,5.2997437,-24.624573,-0.23220825
SAU,2.7903442,-29.661469,-14.531189
SGP,11.626038,-20.67456,2.8167114
SLV,2.6183472,-13.571442,3.6724548
SRB,10.917938,-28.18518,-4.2894897
SVK,-0.9122009,-29.256653,-10.523895
SVN,-5.1766357,-43.61371,-17.49585
SWE,2.1794739,-35.182587,-8.634247
TAP,0.02947998,-29.528717,-3.206604
THA,-6.1542053,-26.290344,-12.313568
TUR,3.7339172,-24.805542,-4.5025635
URY,10.302002,-17.252533,3.3551025
USA,11.08609,-21.440704,5.296936
UZB,5.1403503,-21.437195,-1.9467163
VNM,11.252991,-18.291595,6.187866
