CNT,SES-Math Correlation
SVK,0.4930104050108882
ROU,0.49022304961914515
CZE,0.489347838209831
FRA,0.4873923842716544
HUN,0.4744580628991139
THA,0.4735725438901961
BEL,0.4531694296488079
ISR,0.44896445844968613
CHE,0.44338361932511383
CHL,0.4289213981675977
MNG,0.42376491760349544
PAN,0.4202778693996129
SGP,0.42018154511535594
URY,0.41947173460892356
MYS,0.4193810627134433
ARG,0.41587416362345386
PER,0.41548652652162976
COL,0.4153609000330653
AUT,0.41529256325970176
BGR,0.4075148895419036
DEU,0.40556213624470605
NZL,0.4050011888350255
PRT,0.4016532562637278
LTU,0.3996081375241311
POL,0.38867582261111716
SWE,0.3885620382091988
NLD,0.3882963113384224
BRN,0.38793686387185594
AUS,0.3872768854944857
TAP,0.38674858361374576
MDA,0.38360213312670954
DNK,0.38120895870419075
QUR,0.38108667932059953
FIN,0.380564399749594
USA,0.37637551195891816
SVN,0.37492748398791614
BRA,0.3721097027358038
IRL,0.36947304012623094
KOR,0.3694207253642434
HRV,0.36490004916833185
SLV,0.36175047909922076
MKD,0.3607653331187586
QAT,0.35710288297011195
JPN,0.3570298157296933
TUR,0.3545183311195521
ITA,0.35413653973151343
ESP,0.35371490648815623
EST,0.35251491293503856
VNM,0.35119446435384816
GTM,0.3446794378970696
LVA,0.3430256267636793
GBR,0.34164810605808593
SRB,0.3401743913393223
GRC,0.3374718457359743
MEX,0.33301439214749823
PRY,0.32907240049665637
NOR,0.32140622502786836
CAN,0.31793698725220293
IDN,0.31497535715543273
ISL,0.31311084763574626
MNE,0.31208384317291454
DOM,0.30789870461425656
MLT,0.30427376079076524
KAZ,0.29911217563235193
GEO,0.2815141903991023
SAU,0.2659859326908056
MAR,0.26161363511414637
ARE,0.253833318194058
KSV,0.2418296994428222
PSE,0.23556001263405407
HKG,0.2307100693792162
JAM,0.22767034460692448
JOR,0.2242255656675482
MAC,0.22227123223819945
QAZ,0.21711227113553203
PHL,0.2039620955579787
ALB,0.19429866483694963
UZB,0.15364749174390804
KHM,0.11235590983955035
CRI,
