CNT,Mathematics,Reading,Science,Overall,Overall Rank
SGP,574.7427,545.0571,561.3163,560.372,1.0
MAC,551.6273,509.4705,543.04596,534.7146,2.0
JPN,535.8443,515.62646,545.874,532.44824,3.0
KOR,532.065,519.5974,531.2604,527.6409,4.0
HKG,545.577,504.36664,524.97076,524.97144,5.0
TAP,534.5301,505.26132,527.4236,522.40497,6.0
EST,513.19574,514.9679,527.79877,518.6541,7.0
IRL,493.35825,518.53357,505.02573,505.6392,8.0
CZE,499.48477,499.98706,510.57443,503.34875,9.0
AUS,487.87097,500.1733,509.08176,499.04202,10.0
